Rank,Player
1,Jabari Smith
2,Chet Holmgren
3,Paolo Banchero
4,Jaden Ivey
5,Keegan Murray
6,Bennedict Mathurin
7,Dyson Daniels
8,Shaedon Sharpe
9,Johnny Davis
10,Jalen Duren
11,AJ Griffin
12,Jeremy Sochan
13,Ousmane Dieng
14,Mark Williams
15,Ochai Agbaji
16,Tari Eason
17,Malaki Branham
18,Jalen Williams
19,Blake Wesley
20,TyTy Washington
21,E.J. Liddell
22,Marjon Beauchamp
23,Dalen Terry
24,Jaden Hardy
25,Walker Kessler
26,Wendell Moore
27,Nikola Jovic
28,Kennedy Chandler
29,Jake LaRavia
30,Christian Braun
31,Kendall Brown
32,Bryce McGowens
33,Trevor Keels
34,Peyton Watson
35,Christian Koloko
36,Andrew Nembhard
37,Ismael Kamagate
38,Patrick Baldwin
39,Caleb Houstan
40,Max Christie
41,Justin Lewis
42,Josh Minott
43,Jaylin Williams
44,Ryan Rollins
45,David Roddy
46,Jean Montero
47,JD Davison
48,Gabriele Procida
49,Hugo Besson
50,Dereon Seabron
51,Jabari Walker
52,Dom Barlow
53,Alondes Williams
54,Michael Foster
55,Julian Champagnie
56,Trevion Williams
57,Khalifa Diop
58,Yannick Nzosa
59,Moussa Diabate
60,Keon Ellis
61,John Butler
62,Matteo Spagnolo
63,Orlando Robinson
64,Ron Harper
65,Jordan Hall
66,Johnny Juzang
67,Iverson Molinar
68,Tevin Brown
69,Scotty Pippen
70,Jamaree Bouyea
71,Aminu Mohammed
72,Ziga Samar
73,Isaiah Mobley
74,Vince Williams
75,Collin Gillespie
76,Kofi Cockburn
77,Tyrese Martin
78,Karlo Matkovic
79,Darius Days
80,Ibou Badji
81,Kenneth Lofton
82,Hyunjang Lee
83,Gui Santos
84,Gabe Brown
85,Bryson Williams
86,Buddy Boeheim
87,Jared Rhoden
88,Brady Manek
89,James Akinjo
90,Luke Travers
91,Michael DeVoe
92,Kameron McGusty
93,Makur Maker
94,Yoan Makoundou
95,Fanbo Zeng
96,Marcus Bingham
97,Jules Bernard
98,AJ Green
99,Quenton Jackson
100,Pavel Savkov
